District,total
ANTOFAGASTA,206
ARICA,99
CALAMA,90
PUDAHUEL,65
ALTO HOSPICIO,63
COLINA,59
RECOLETA,58
LA FLORIDA,57
IQUIQUE,57
LO ESPEJO,50
RANCAGUA,41
CONCHALI,40
LO PRADO,39
MAIPU,39
LA CISTERNA,38
EL BOSQUE,36
LAMPA,35
CERRO NAVIA,34
SAN RAMON,33
TOCOPILLA,32
SAN FELIPE,30
CORONEL,29
TALCA,29
CONCEPCION,29
HUECHURABA,27
SAN BERNARDO,27
CHILLAN,27
PENALOLEN,26
COQUIMBO,25
PUENTE ALTO,25
MEJILLONES,24
LAS CABRAS,24
LOS ANDES,24
TALCAHUANO,23
VINA DEL MAR,22
LA PINTANA,22
QUILICURA,21
PEDRO AGUIRRE CERDA,21
SAN VICENTE,20
PUERTO MONTT,19
SAN CLEMENTE,19
QUINTA NORMAL,18
LA CALERA,18
LA SERENA,17
MELIPILLA,17
QUILLOTA,17
SAN FERNANDO,17
SAN CARLOS,17
VALDIVIA,16
RENCA,16
OSORNO,16
SAN MIGUEL,15
CAUQUENES,14
TALAGANTE,14
SAN JOAQUIN,14
TILTIL,13
BUIN,13
MACHALI,12
POZO ALMONTE,12
SAN PEDRO DE LA PAZ,11
ISLA DE MAIPO,11
LA GRANJA,11
MOLINA,11
PAINE,10
PENAFLOR,10
HUALPEN,10
CURICO,10
BULNES,10
SAN IGNACIO,10
TALTAL,10
RENGO,9
REQUINOA,9
LOS ANGELES,9
RIO BUENO,9
PENCO,9
SAN JAVIER,8
VILLARRICA,8
CASABLANCA,8
CASTRO,8
ESTACION CENTRAL,8
QUILPUE,7
INDEPENDENCIA,7
CHANCO,7
CERRILLOS,7
VALPARAISO,7
PICHIDEGUA,7
SAN ESTEBAN,7
PEUMO,7
MACUL,7
PELLUHUE,6
NOGALES,6
S. FCO DE MOSTAZAL,6
ANGOL,6
GORBEA,6
HIJUELAS,6
LINARES,6
LA UNION,6
COLTAUCO,6
COIHUECO,6
PICHILEMU,6
QUINTA DE TILCOCO,6
SANTIAGO,5
TUCAPEL,5
SAN JOSE MARIQUINA,5
RIO CLARO,5
MAULE,5
LOTA,5
LONCOCHE,5
MALLOA,5
CHIGUAYANTE,5
VILLA ALEMANA,5
OLIVAR,5
PICA,5
PUTAENDO,5
PINTO,5
LAS CONDES,5
CATEMU,5
ANCUD,5
DONIHUE,5
MARIA ELENA,4
EL MONTE,4
SANTA MARIA,4
SAN ANTONIO,4
CURANILAHUE,4
QUELLON,4
PANGUIPULLI,4
CUNCO,4
CHILLAN VIEJO,4
CHANARAL,4
HUALQUI,4
HUALANE,4
vitacura,4
QUINTERO,4
PARRAL,4
san miguel,3
NUNOA,3
NUEVA IMPERIAL,3
LITUECHE,3
LOS SAUCES,3
LIMACHE,3
LA CRUZ,3
LA REINA,3
SAN PEDRO,3
TEMUCO,3
TOME,3
PELARCO,3
PUERTO VARAS,3
COLBUN,3
CONCON,3
CODEGUA,3
CHIMBARONGO,3
CARAHUE,3
ARAUCO,3
ALHUE,3
COMBARBALA,3
CONSTITUCION,3
LONGAVI,3
NAVIDAD,3
GRANEROS,3
COPIAPO,2
CUREPTO,2
CORRAL,2
CHONCHI,2
ROMERAL,2
TENO,2
SAN NICOLAS,2
QUIRIHUE,2
VICUNA,2
SANTA CRUZ,2
PUNTA ARENAS,2
PUCHUNCAVI,2
PORTEZUELO,2
PROVIDENCIA,2
PITRUFQUEN,2
PUCON,2
PERALILLO,2
PEMUCO,2
LAGO RANCO,2
LICANTEN,2
LLAILLAY,2
LA ESTRELLA,2
LO BARNECHEA,2
NACIMIENTO,2
CORTE ALTO,1
COELEMU,1
MELIPEUCO,1
MARCHIGUE,1
MAFIL,1
LOS MUERMOS,1
LLAY LLAY,1
LLANQUIHUE,1
LOLOL,1
LAUTARO,1
EL CARMEN,1
HUARA,1
HUASCO,1
FRUTILLAR,1
FREIRINA,1
CURACAVI,1
CURACAUTIN,1
DALCAHUE,1
CABRERO,1
CONCEPCIÓN,1
CHEPICA,1
BELLOTO NORTE,1
ANDACOLLO,1
Antofagasta,1
CALERA DE TANGO,1
CALLE LARGA,1
PADRE LAS CASAS,1
OVALLE,1
NEGRETE,1
PANQUEHUE,1
NINHUE,1
PAPUDO,1
PERQUENCO,1
PEÑALOLEN,1
RAUCO,1
PUYEHUE,1
PURRANQUE,1
QUILLON,1
QUEILEN,1
PLACILLA,1
PUMANQUE,1
PUQUELDON,1
NIQUEN,1
PALMILLA,1
PAIHUANO,1
PAILLACO,1
PAREDONES,1
RINCONADA LOS ANDES,1
SAGRADA FAMILIA,1
SAN FABIAN,1
SANTA JUANA,1
SAN RAFAEL,1
SAN PEDRO DE ATACAMA,1
TEODORO SCHMIDT,1
TRAIGUEN,1
TOLTEN,1
TEST,1
VALPARAÍSO,1
VICUÑA,1
VILLA ALEGRE,1
VALLENAR,1
VITACURA,1
YERBAS BUENAS,1
VIÑA DEL MAR,1
cerrillos,1
ZAPALLAR,1
